,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-75.0,0.313,33.0,30.0,3.0,4.0,5.0,0.444
Atlanta Falcons,-36.0,0.438,26.0,20.0,6.0,2.0,3.0,0.4
Baltimore Ravens,152.0,0.813,40.0,23.0,17.0,4.0,2.0,0.667
Buffalo Bills,-11.0,0.438,24.0,29.0,-5.0,3.0,6.0,0.333
Carolina Panthers,-35.0,0.5,22.0,27.0,-5.0,5.0,4.0,0.556
Chicago Bears,172.0,0.813,44.0,36.0,8.0,5.0,1.0,0.833
Cincinnati Bengals,42.0,0.5,31.0,24.0,7.0,3.0,6.0,0.333
Cleveland Browns,-118.0,0.25,27.0,42.0,-15.0,4.0,6.0,0.4
Dallas Cowboys,75.0,0.563,31.0,30.0,1.0,2.0,4.0,0.333
Denver Broncos,14.0,0.563,30.0,30.0,0.0,3.0,5.0,0.375
Detroit Lions,-93.0,0.188,30.0,39.0,-9.0,2.0,9.0,0.182
Green Bay Packers,-65.0,0.5,33.0,33.0,0.0,4.0,2.0,0.667
Houston Texans,-99.0,0.375,22.0,25.0,-3.0,4.0,4.0,0.5
Indianapolis Colts,67.0,0.75,26.0,19.0,7.0,9.0,3.0,0.75
Jacksonville Jaguars,97.0,0.5,24.0,23.0,1.0,2.0,7.0,0.222
Kansas City Chiefs,16.0,0.563,30.0,26.0,4.0,5.0,3.0,0.625
Miami Dolphins,-23.0,0.375,27.0,25.0,2.0,3.0,4.0,0.429
Minnesota Vikings,-45.0,0.375,36.0,32.0,4.0,3.0,6.0,0.333
New England Patriots,148.0,0.75,35.0,27.0,8.0,6.0,3.0,0.667
New Orleans Saints,91.0,0.625,19.0,23.0,-4.0,5.0,3.0,0.625
New York Giants,-7.0,0.5,28.0,28.0,0.0,3.0,4.0,0.429
New York Jets,21.0,0.625,25.0,25.0,0.0,6.0,3.0,0.667
Oakland Raiders,-164.0,0.125,23.0,46.0,-23.0,1.0,4.0,0.2
Philadelphia Eagles,70.0,0.625,29.0,24.0,5.0,4.0,5.0,0.444
Pittsburgh Steelers,38.0,0.5,29.0,37.0,-8.0,3.0,3.0,0.5
San Diego Chargers,189.0,0.875,28.0,15.0,13.0,7.0,3.0,0.7
San Francisco 49ers,-114.0,0.438,27.0,32.0,-5.0,5.0,3.0,0.625
Seattle Seahawks,-6.0,0.563,26.0,34.0,-8.0,5.0,5.0,0.5
St. Louis Rams,-14.0,0.5,32.0,18.0,14.0,6.0,3.0,0.667
Tampa Bay Buccaneers,-142.0,0.25,20.0,32.0,-12.0,3.0,3.0,0.5
Tennessee Titans,-76.0,0.5,28.0,26.0,2.0,7.0,4.0,0.636
Washington Redskins,-69.0,0.313,12.0,17.0,-5.0,4.0,6.0,0.4
