Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
San Diego Chargers,1.0,San Diego Chargers,16.0,492.0,5840.0,1016.0,5.7,15.0,6.0,321.0,287.0,466.0,3262.0,24.0,9.0,6.6,169.0,522.0,2578.0,32.0,4.9,137.0,90.0,791.0,15.0,43.2,6.8,-0.85
Chicago Bears,2.0,Chicago Bears,16.0,427.0,5199.0,1042.0,5.0,36.0,14.0,300.0,282.0,514.0,3281.0,24.0,22.0,6.1,161.0,503.0,1918.0,14.0,3.8,103.0,112.0,923.0,36.0,34.8,15.9,-133.82
Indianapolis Colts,3.0,Indianapolis Colts,16.0,427.0,6070.0,1011.0,6.0,19.0,10.0,376.0,362.0,557.0,4308.0,31.0,9.0,7.5,241.0,439.0,1762.0,17.0,4.0,112.0,86.0,718.0,23.0,47.4,10.9,26.73
Dallas Cowboys,4.0,Dallas Cowboys,16.0,425.0,5772.0,1015.0,5.7,30.0,9.0,336.0,310.0,506.0,3836.0,26.0,21.0,7.1,197.0,472.0,1936.0,21.0,4.1,107.0,100.0,939.0,32.0,38.1,15.3,-35.15
New Orleans Saints,5.0,New Orleans Saints,16.0,413.0,6264.0,1075.0,5.8,23.0,10.0,330.0,372.0,580.0,4503.0,27.0,13.0,7.5,207.0,472.0,1761.0,19.0,3.7,99.0,79.0,597.0,24.0,36.8,12.1,-100.41
Philadelphia Eagles,6.0,Philadelphia Eagles,16.0,398.0,6103.0,988.0,6.2,24.0,15.0,312.0,323.0,544.0,4119.0,31.0,9.0,7.2,189.0,416.0,1984.0,13.0,4.8,106.0,112.0,983.0,17.0,33.9,11.5,-32.03
New England Patriots,7.0,New England Patriots,16.0,385.0,5369.0,1055.0,5.1,27.0,15.0,330.0,326.0,527.0,3400.0,25.0,12.0,6.1,181.0,499.0,1969.0,20.0,3.9,121.0,98.0,940.0,28.0,34.4,13.8,-76.38
Cincinnati Bengals,8.0,Cincinnati Bengals,16.0,373.0,5462.0,994.0,5.5,24.0,11.0,313.0,327.0,523.0,3833.0,28.0,13.0,6.9,200.0,435.0,1629.0,14.0,3.7,88.0,92.0,717.0,25.0,35.6,12.2,-89.47
Jacksonville Jaguars,9.0,Jacksonville Jaguars,16.0,371.0,5423.0,989.0,5.5,23.0,9.0,293.0,266.0,446.0,2882.0,17.0,14.0,6.1,147.0,513.0,2541.0,23.0,5.0,127.0,97.0,810.0,19.0,35.1,11.2,-80.6
St. Louis Rams,10.0,St. Louis Rams,16.0,367.0,5767.0,1065.0,5.4,18.0,10.0,332.0,371.0,592.0,3962.0,24.0,8.0,6.2,212.0,424.0,1805.0,13.0,4.3,94.0,116.0,960.0,26.0,37.7,8.7,-53.93
New York Giants,11.0,New York Giants,16.0,355.0,5214.0,1003.0,5.2,28.0,10.0,304.0,301.0,523.0,3058.0,24.0,18.0,5.6,163.0,455.0,2156.0,14.0,4.7,120.0,101.0,881.0,21.0,32.6,13.7,-108.77
